func_name,shadow_price,ir_count,opt_level,inlined,threshold_baseline,threshold_adjusted
func_0_size_10_opt_0,1000.00,10,0,1,20,100
func_0_size_50_opt_0,1000.00,50,0,1,20,100
func_0_size_100_opt_0,1000.00,100,0,0,20,100
func_0_size_200_opt_0,1000.00,200,0,0,20,100
func_0_size_500_opt_0,1000.00,500,0,0,20,100
func_1_size_10_opt_0,10.00,10,0,0,20,5
func_1_size_50_opt_0,10.00,50,0,0,20,5
func_1_size_100_opt_0,10.00,100,0,0,20,5
func_1_size_200_opt_0,10.00,200,0,0,20,5
func_1_size_500_opt_0,10.00,500,0,0,20,5
func_2_size_10_opt_0,1000.00,10,0,1,20,100
func_2_size_50_opt_0,1000.00,50,0,1,20,100
func_2_size_100_opt_0,1000.00,100,0,0,20,100
func_2_size_200_opt_0,1000.00,200,0,0,20,100
func_2_size_500_opt_0,1000.00,500,0,0,20,100
func_3_size_10_opt_0,10.00,10,0,0,20,5
func_3_size_50_opt_0,10.00,50,0,0,20,5
func_3_size_100_opt_0,10.00,100,0,0,20,5
func_3_size_200_opt_0,10.00,200,0,0,20,5
func_3_size_500_opt_0,10.00,500,0,0,20,5
func_4_size_10_opt_0,1000.00,10,0,1,20,100
func_4_size_50_opt_0,1000.00,50,0,1,20,100
func_4_size_100_opt_0,1000.00,100,0,0,20,100
func_4_size_200_opt_0,1000.00,200,0,0,20,100
func_4_size_500_opt_0,1000.00,500,0,0,20,100
func_5_size_10_opt_0,10.00,10,0,0,20,5
func_5_size_50_opt_0,10.00,50,0,0,20,5
func_5_size_100_opt_0,10.00,100,0,0,20,5
func_5_size_200_opt_0,10.00,200,0,0,20,5
func_5_size_500_opt_0,10.00,500,0,0,20,5
func_6_size_10_opt_0,1000.00,10,0,1,20,100
func_6_size_50_opt_0,1000.00,50,0,1,20,100
func_6_size_100_opt_0,1000.00,100,0,0,20,100
func_6_size_200_opt_0,1000.00,200,0,0,20,100
func_6_size_500_opt_0,1000.00,500,0,0,20,100
func_7_size_10_opt_0,10.00,10,0,0,20,5
func_7_size_50_opt_0,10.00,50,0,0,20,5
func_7_size_100_opt_0,10.00,100,0,0,20,5
func_7_size_200_opt_0,10.00,200,0,0,20,5
func_7_size_500_opt_0,10.00,500,0,0,20,5
func_8_size_10_opt_0,1000.00,10,0,1,20,100
func_8_size_50_opt_0,1000.00,50,0,1,20,100
func_8_size_100_opt_0,1000.00,100,0,0,20,100
func_8_size_200_opt_0,1000.00,200,0,0,20,100
func_8_size_500_opt_0,1000.00,500,0,0,20,100
func_9_size_10_opt_0,10.00,10,0,0,20,5
func_9_size_50_opt_0,10.00,50,0,0,20,5
func_9_size_100_opt_0,10.00,100,0,0,20,5
func_9_size_200_opt_0,10.00,200,0,0,20,5
func_9_size_500_opt_0,10.00,500,0,0,20,5
func_10_size_10_opt_0,1000.00,10,0,1,20,100
func_10_size_50_opt_0,1000.00,50,0,1,20,100
func_10_size_100_opt_0,1000.00,100,0,0,20,100
func_10_size_200_opt_0,1000.00,200,0,0,20,100
func_10_size_500_opt_0,1000.00,500,0,0,20,100
func_11_size_10_opt_0,10.00,10,0,0,20,5
func_11_size_50_opt_0,10.00,50,0,0,20,5
func_11_size_100_opt_0,10.00,100,0,0,20,5
func_11_size_200_opt_0,10.00,200,0,0,20,5
func_11_size_500_opt_0,10.00,500,0,0,20,5
func_12_size_10_opt_0,1000.00,10,0,1,20,100
func_12_size_50_opt_0,1000.00,50,0,1,20,100
func_12_size_100_opt_0,1000.00,100,0,0,20,100
func_12_size_200_opt_0,1000.00,200,0,0,20,100
func_12_size_500_opt_0,1000.00,500,0,0,20,100
func_13_size_10_opt_0,10.00,10,0,0,20,5
func_13_size_50_opt_0,10.00,50,0,0,20,5
func_13_size_100_opt_0,10.00,100,0,0,20,5
func_13_size_200_opt_0,10.00,200,0,0,20,5
